DATE,MRTSSM4423XUSN
2000-01-01,13840
2000-02-01,14126
2000-03-01,14999
2000-04-01,13845
2000-05-01,14614
2000-06-01,14439
2000-07-01,14417
2000-08-01,15369
2000-09-01,14546
2000-10-01,14430
2000-11-01,16344
2000-12-01,20623
2001-01-01,14072
2001-02-01,13376
2001-03-01,14556
2001-04-01,13077
2001-05-01,14087
2001-06-01,14273
2001-07-01,14214
2001-08-01,15247
2001-09-01,13548
2001-10-01,14290
2001-11-01,16938
2001-12-01,22299
2002-01-01,14342
2002-02-01,13916
2002-03-01,15029
2002-04-01,13882
2002-05-01,15047
2002-06-01,14591
2002-07-01,14716
2002-08-01,15755
2002-09-01,14231
2002-10-01,14809
2002-11-01,17191
2002-12-01,22137
2003-01-01,14212
2003-02-01,13265
2003-03-01,14511
2003-04-01,13728
2003-05-01,15036
2003-06-01,14829
2003-07-01,15295
2003-08-01,16235
2003-09-01,15230
2003-10-01,15728
2003-11-01,17835
2003-12-01,23682
2004-01-01,15277
2004-02-01,15022
2004-03-01,16161
2004-04-01,15050
2004-05-01,15595
2004-06-01,16192
2004-07-01,16723
2004-08-01,17093
2004-09-01,16164
2004-10-01,16431
2004-11-01,19031
2004-12-01,25031
2005-01-01,15873
2005-02-01,15870
2005-03-01,17097
2005-04-01,15994
2005-05-01,16599
2005-06-01,17185
2005-07-01,17168
2005-08-01,18395
2005-09-01,17428
2005-10-01,17325
2005-11-01,20237
2005-12-01,26071
2006-01-01,17370
2006-02-01,16693
2006-03-01,18092
2006-04-01,16346
2006-05-01,17583
2006-06-01,17956
2006-07-01,17695
2006-08-01,18991
2006-09-01,17881
2006-10-01,17236
2006-11-01,20534
2006-12-01,26509
2007-01-01,17514
2007-02-01,16716
2007-03-01,17936
2007-04-01,16210
2007-05-01,17647
2007-06-01,17571
2007-07-01,17637
2007-08-01,19076
2007-09-01,17160
2007-10-01,17414
2007-11-01,20960
2007-12-01,25644
2008-01-01,16843
2008-02-01,16813
2008-03-01,16910
2008-04-01,15987
2008-05-01,17438
2008-06-01,16752
2008-07-01,17302
2008-08-01,17473
2008-09-01,15723
2008-10-01,15501
2008-11-01,18055
2008-12-01,22307
2009-01-01,15200
2009-02-01,14721
2009-03-01,14504
2009-04-01,13538
2009-05-01,14294
2009-06-01,14495
2009-07-01,14737
2009-08-01,14991
2009-09-01,14215
2009-10-01,13926
2009-11-01,16806
2009-12-01,21221
2010-01-01,13963
2010-02-01,14322
2010-03-01,15044
2010-04-01,13891
2010-05-01,14545
